Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program
Alexander Thompson,Stanford University USA,Passed,100.0,BS Biology,BS Accountancy
Liam Taylor,Harvard University USA,Passed,100.0,BS Accountancy,BS Civil Engineering
Evelyn Jenkins,Stanford University USA,Passed,99.0,BS Civil Engineering,BS Information Technology
Chloe Moore,Stanford University USA,Passed,98.0,BS Biology,BS Accountancy
Olivia Richardson,Stanford University USA,Passed,97.0,BS Civil Engineering,BS Information Technology
Aiden Rivera,Stanford University USA,Passed,97.0,BS Information Technology,BS Biology
Harper Turner,Harvard University USA,Passed,97.0,BS Biology,BS Accountancy
Madison Lee,Stanford University USA,Passed,97.0,BS Accountancy,BS Civil Engineering
Carter Hall,Harvard University USA,Passed,97.0,BS Civil Engineering,BS Information Technology
Mia Thomas,Harvard University USA,Passed,97.0,BS Information Technology,BS Biology
Lucas Evans,University of Oxford UK,Passed,96.0,BS Biology,BS Accountancy
Joseph Diaz,Harvard University USA,Passed,95.0,BS Civil Engineering,BS Information Technology
William Walker,University of Cambridge UK,Passed,95.0,BS Information Technology,BS Biology
Andrew Anderson,University of Oxford UK,Passed,95.0,BS Biology,BS Accountancy
Sophia King,Harvard University USA,Passed,94.0,BS Accountancy,BS Civil Engineering
Avery Gonzalez,Harvard University USA,Passed,92.0,BS Civil Engineering,BS Information Technology
Lily Davis,Harvard University USA,Passed,92.0,BS Information Technology,BS Biology
Scarlett Cooper,Stanford University USA,Passed,92.0,BS Biology,BS Accountancy
Matthew Johnson,Harvard University USA,Passed,92.0,BS Civil Engineering,BS Information Technology
Jackson Baker,Stanford University USA,Passed,92.0,BS Information Technology,BS Biology
Ella Martinez,Harvard University USA,Passed,92.0,BS Biology,BS Accountancy
Henry Perez,Stanford University USA,Passed,91.0,BS Accountancy,BS Civil Engineering
Ava White,Stanford University USA,Passed,91.0,BS Civil Engineering,BS Information Technology
Mia Brown,Stanford University USA,Passed,90.0,BS Biology,BS Accountancy
Layla Garcia,Harvard University USA,Passed,90.0,BS Accountancy,BS Civil Engineering
Emma Stewart,Stanford University USA,Passed,90.0,BS Civil Engineering,BS Information Technology
Daniel Adams,University of Oxford UK,Passed,90.0,BS Information Technology,BS Biology
Logan Smith,Stanford University USA,Passed,90.0,BS Biology,BS Accountancy
James Harris,Stanford University USA,Passed,89.0,BS Accountancy,BS Civil Engineering
Benjamin Martin,Harvard University USA,Passed,89.0,BS Civil Engineering,BS Information Technology
Elijah Robinson,Harvard University USA,Passed,89.0,BS Information Technology,BS Biology
Zoey Hayes,Harvard University USA,Passed,89.0,BS Biology,BS Accountancy
Emily Williams,Harvard University USA,Passed,89.0,BS Civil Engineering,BS Information Technology
Sofia Lewis,Stanford University USA,Passed,89.0,BS Information Technology,BS Biology
Amelia Young,University of Oxford UK,Passed,89.0,BS Biology,BS Accountancy
Charlotte Wilson,Harvard University USA,Passed,88.0,BS Accountancy,BS Civil Engineering
Jack Scott,Harvard University USA,Passed,88.0,BS Civil Engineering,BS Information Technology
Noah Parker,Harvard University USA,Passed,88.0,BS Information Technology,BS Biology
David Rodriguez,Harvard University USA,Passed,88.0,BS Biology,BS Accountancy
Aria Nelson,Stanford University USA,Passed,87.0,BS Accountancy,BS Civil Engineering
Ethan Carter,Harvard University USA,Passed,87.0,BS Civil Engineering,BS Information Technology
Harper Jones,Harvard University USA,Passed,87.0,BS Biology,BS Accountancy
David Martin,Stanford University USA,Passed,86.0,BS Accountancy,BS Civil Engineering
Avery Green,Stanford University USA,Passed,86.0,BS Civil Engineering,BS Information Technology
Aiden Wood,Harvard University USA,Passed,86.0,BS Information Technology,BS Biology
Jackson Anderson,Harvard University USA,Passed,85.0,BS Biology,BS Accountancy
Scarlett Lee,Stanford University USA,Passed,85.0,BS Accountancy,BS Civil Engineering
Lucas Johnson,Stanford University USA,Passed,85.0,BS Civil Engineering,BS Information Technology
Madison Davis,Massachusetts Institute of Technology (MIT) USA,Passed,84.0,BS Information Technology,BS Biology
Nicholas Jones,Harvard University USA,Passed,84.0,BS Biology,BS Accountancy
Evelyn Stewart,Stanford University USA,Passed,82.0,BS Accountancy,BS Civil Engineering
Benjamin Richardson,Stanford University USA,Passed,82.0,BS Civil Engineering,BS Information Technology
Charlotte Walker,Harvard University USA,Passed,81.0,BS Information Technology,BS Biology
Samuel Scott,Harvard University USA,Passed,80.0,BS Biology,BS Accountancy
William Rodriguez,Stanford University USA,Passed,80.0,BS Accountancy,BS Civil Engineering
Emily Carter,Harvard University USA,Passed,79.0,BS Civil Engineering,BS Information Technology
Alexander Moore,Harvard University USA,Passed,78.0,BS Biology,BS Accountancy
Emma Wilson,Massachusetts Institute of Technology (MIT) USA,Passed,78.0,BS Accountancy,BS Civil Engineering
Mia Young,Harvard University USA,Passed,77.0,BS Civil Engineering,BS Information Technology
