Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course,RAW scores,Remarks
Elijah Reed,University of Oxford UK,Passed,98,91,BS Criminology,BS Information Technology,1,98,BS Criminology,96.25,Passed
Elijah Baker,University of Oxford UK,Passed,94,94,BSED Mathematics,BS Civil Engineering,2,96,BSED Mathematics,94.5,Passed
ABC MOORE,Stanford University USA,Passed,100,84,BSED Mathematics,BS Civil Engineering,3,93,BSED Mathematics,94.25,Passed
William Walker,University of Cambridge UK,Passed,95,89,BS Information Technology,BS Biology,4,97,BS Information Technology,94,Passed
Amelia Brooks,Stanford University USA,Passed,92,99,BS Criminology,BS Information Technology,5,92,BS Criminology,93.75,Passed
Caleb Turner,Harvard University USA,Passed,94,89,BSED Mathematics,BS Civil Engineering,6,97,BSED Mathematics,93.5,Passed
Andrew Anderson,University of Oxford UK,Passed,95,98,BS Biology,BS Accountancy,7,85,BS Biology,93.25,Passed
Hinata Shoyo,Massachusetts Institute of Technology (MIT) USA,Passed,100,96,BS Computer Science,BS Biology,8,71,BS Computer Science,91.75,Passed
Vincent Barker,Harvard University USA,Passed,87,96,BS Criminology,BS Information Technology,9,96,BS Criminology,91.5,Passed
Harper Bishop,Stanford University USA,Passed,90,98,BSED Mathematics,BS Civil Engineering,10,84,BSED Mathematics,90.5,Passed
Chloe Moore,Stanford University USA,Passed,98,96,BS Biology,BS Accountancy,11,69,BS Biology,90.25,Passed
Madison Lee,Stanford University USA,Passed,97,95,BS Accountancy,BS Civil Engineering,11,72,BS Accountancy,90.25,Passed
Alexander Thompson,Stanford University USA,Passed,100,98,BS Biology,BS Accountancy,11,63,BS Biology,90.25,Passed
Evelyn Taylor,Stanford University USA,Passed,91,79,BS Computer Science,BS Biology,14,99,BS Computer Science,90,Passed
Lily Davis,Harvard University USA,Passed,92,85,BS Information Technology,BS Biology,14,91,BS Information Technology,90,Passed
Olivia Taylor,Harvard University USA,Passed,88,97,BS Accountancy,BS Civil Engineering,16,86,BS Accountancy,89.75,Passed
Elijah Robinson,Harvard University USA,Passed,89,95,BS Information Technology,BS Biology,16,86,BS Information Technology,89.75,Passed
Henry Perez,Stanford University USA,Passed,91,78,BS Accountancy,BS Civil Engineering,16,99,BS Accountancy,89.75,Passed
Ava Turner,Harvard University USA,Passed,92,88,BS Criminology,BS Information Technology,16,87,BS Criminology,89.75,Passed
Benjamin Turner,Stanford University USA,Passed,88,98,BSED Mathematics,BS Civil Engineering,20,83,BSED Mathematics,89.25,Passed
Samuel Hall,Stanford University USA,Passed,89,79,BS Psychology,BS Accountancy,20,100,BS Psychology,89.25,Passed
Lucas Evans,University of Oxford UK,Passed,96,87,BS Biology,BS Accountancy,22,77,BS Biology,89,Passed
Lincoln Holmes,Harvard University USA,Passed,91,98,BS Criminology,BS Information Technology,22,76,BS Criminology,89,Passed
David Rodriguez,Harvard University USA,Passed,88,81,BS Biology,BS Accountancy,24,98,BS Biology,88.75,Passed
Ethan Parker,Harvard University USA,Passed,95,76,BS Computer Science,BS Biology,24,89,BS Computer Science,88.75,Passed
Elise Zimmerman,Harvard University USA,Passed,84,88,BS Computer Science,BS Biology,26,98,BS Computer Science,88.5,Passed
Damian Hunt,Harvard University USA,Passed,88,98,BS Criminology,BS Information Technology,26,80,BS Criminology,88.5,Passed
Liam Taylor,Harvard University USA,Passed,100,79,BS Accountancy,BS Civil Engineering,28,74,BS Accountancy,88.25,Passed
Mia Hernandez,University of Oxford UK,Passed,92,78,BS Criminology,BS Information Technology,28,91,BS Criminology,88.25,Passed
Joseph Diaz,Harvard University USA,Passed,95,88,BS Civil Engineering,BS Information Technology,30,74,BS Civil Engineering,88,Passed
