Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Rank
Alexander Thompson,Stanford University USA,Passed,100.0,BS Biology,BS Accountancy,1
Chloe Moore,Stanford University USA,Passed,98.0,BS Biology,BS Accountancy,2
Harper Turner,Harvard University USA,Passed,97.0,BS Biology,BS Accountancy,3
Lucas Evans,University of Oxford UK,Passed,96.0,BS Biology,BS Accountancy,4
Andrew Anderson,University of Oxford UK,Passed,95.0,BS Biology,BS Accountancy,5
Scarlett Cooper,Stanford University USA,Passed,92.0,BS Biology,BS Accountancy,6
Ella Martinez,Harvard University USA,Passed,92.0,BS Biology,BS Accountancy,7
Liam Martin,Harvard University USA,Passed,90.0,BS Biology,BS Accountancy,8
Mia Brown,Stanford University USA,Passed,90.0,BS Biology,BS Accountancy,9
Logan Smith,Stanford University USA,Passed,90.0,BS Biology,BS Accountancy,10
Amelia Young,University of Oxford UK,Passed,89.0,BS Biology,BS Accountancy,11
Zoey Hayes,Harvard University USA,Passed,89.0,BS Biology,BS Accountancy,12
David Rodriguez,Harvard University USA,Passed,88.0,BS Biology,BS Accountancy,13
Harper Jones,Harvard University USA,Passed,87.0,BS Biology,BS Accountancy,14
Jackson Anderson,Harvard University USA,Passed,85.0,BS Biology,BS Accountancy,15
Nicholas Jones,Harvard University USA,Passed,84.0,BS Biology,BS Accountancy,16
Samuel Scott,Harvard University USA,Passed,80.0,BS Biology,BS Accountancy,17
Alexander Moore,Harvard University USA,Passed,78.0,BS Biology,BS Accountancy,18
Layla Phillips,Harvard University USA,Passed,76.0,BS Biology,BS Accountancy,19
Logan Turner,Stanford University USA,Passed,75.0,BS Biology,BS Accountancy,20
Harper Nelson,Stanford University USA,Passed,73.0,BS Biology,BS Accountancy,21
Abigail Robinson,Harvard University USA,Passed,72.0,BS Biology,BS Accountancy,22
Elijah Thomas,Harvard University USA,Passed,71.0,BS Biology,BS Accountancy,23
Ava Clark,Massachusetts Institute of Technology (MIT) USA,Passed,70.0,BS Biology,BS Accountancy,24
Ethan Adams,Harvard University USA,Passed,67.0,BS Biology,BS Accountancy,25
Jackson Johnson,Harvard University USA,Passed,66.0,BS Biology,BS Accountancy,26
Michael Johnson,Stanford University USA,Passed,65.0,BS Biology,BS Accountancy,27
Christopher Lee,Harvard University USA,Passed,65.0,BS Biology,BS Accountancy,28
Harper Bailey,Harvard University USA,Passed,64.0,BS Biology,BS Accountancy,29
Abigail Thomas,University of Oxford UK,Passed,62.0,BS Biology,BS Accountancy,30
Sofia Nelson,Stanford University USA,Passed,59.0,BS Biology,BS Accountancy,31
