Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course
ABC MOORE,Stanford University USA,Passed,100,84,BSED Mathematics,BS Civil Engineering,1,93,
Abigail Moore,Stanford University USA,Passed,86,62,BSED Mathematics,BS Civil Engineering,15,78,
Abigail Robinson,Harvard University USA,Passed,72,71,BS Biology,BS Accountancy,22,71,
Abigail Thomas,University of Oxford UK,Passed,62,63,BS Biology,BS Accountancy,30,69,
Addison Price,Harvard University USA,Passed,96,78,BSED Mathematics,BS Civil Engineering,3,75,
Adrianna Novak,Massachusetts Institute of Technology (MIT) USA,Passed,77,78,BSED Mathematics,BS Civil Engineering,22,70,
Aiden Rivera,Stanford University USA,Passed,97,65,BS Information Technology,BS Biology,1,89,
Aiden Thomas,Harvard University USA,Passed,0,81,BS Biology,BS Accountancy,40,77,
Aiden Thompson,University of Oxford UK,Passed,30,63,BS Civil Engineering,BS Information Technology,36,65,
Aiden Wood,Harvard University USA,Passed,86,62,BS Information Technology,BS Biology,10,72,
Alexander Clark,Harvard University USA,Passed,64,100,BS Accountancy,BS Civil Engineering,25,71,
Alexander Moore,Harvard University USA,Passed,78,89,BS Biology,BS Accountancy,18,98,
Alexander Thompson,Stanford University USA,Passed,100,98,BS Biology,BS Accountancy,1,63,
Amelia Brooks,Stanford University USA,Passed,92,99,BS Criminology,BS Information Technology,4,92,
Amelia Harris,Stanford University USA,Passed,72,76,BS Information Technology,BS Biology,18,71,
Amelia Jones,Massachusetts Institute of Technology (MIT) USA,Passed,46,83,BS Information Technology,BS Biology,32,64,
Amelia Young,University of Oxford UK,Passed,89,82,BS Biology,BS Accountancy,11,75,
Andrew Anderson,University of Oxford UK,Passed,95,98,BS Biology,BS Accountancy,5,85,
Andrew Gonzalez,Harvard University USA,Passed,72,64,BS Civil Engineering,BS Information Technology,21,80,
Andrew Phillips,Harvard University USA,Passed,30,90,BS Information Technology,BS Biology,36,95,
Aria Evans,Stanford University USA,Passed,76,69,BS Information Technology,BS Biology,14,78,
Aria King,University of Cambridge UK,Passed,30,91,BS Biology,BS Accountancy,36,95,
Aria Lee,Harvard University USA,Passed,55,73,BSED Mathematics,BS Civil Engineering,36,90,
Aria Lopez,Harvard University USA,Passed,66,92,BSED Mathematics,BS Civil Engineering,27,81,
Aria Nelson,Stanford University USA,Passed,87,91,BS Accountancy,BS Civil Engineering,9,63,
Aria Scott,Imperial College London UK,Passed,59,86,BS Psychology,BS Accountancy,34,62,
Atticus Hawkins,Stanford University USA,Passed,94,65,BS Criminology,BS Information Technology,2,94,
Aurora Hayes,Stanford University USA,Passed,83,92,BS Criminology,BS Information Technology,16,87,
Aurora Morgan,Massachusetts Institute of Technology (MIT) USA,Passed,89,84,BSED Mathematics,BS Civil Engineering,9,82,
Aurora Santos,Stanford University USA,Passed,59,100,BSED Mathematics,BS Civil Engineering,32,94,
Ava Baker,Stanford University USA,Passed,59,61,BS Psychology,BS Accountancy,33,84,
