Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Rank,GWA
ABC MOORE,Stanford University USA,Passed,67,BSED Mathematics,BS Civil Engineering,,66
Abigail Moore,Stanford University USA,Passed,76,BSED Mathematics,BS Civil Engineering,,98
Abigail Robinson,Harvard University USA,Passed,71,BS Biology,BS Accountancy,,91
Abigail Thomas,University of Oxford UK,Passed,75,BS Biology,BS Accountancy,,100
Adalynn Werner,Harvard University USA,Failed,73,BS Psychology,BS Criminology,,60
Addison Price,Harvard University USA,Passed,99,BSED Mathematics,BS Civil Engineering,,62
Adelaide Macias,Harvard University USA,Failed,80,BSED Mathematics,BS Civil Engineering,,69
Adeline Monroe,Harvard University USA,Failed,96,BS Psychology,BS Accountancy,,94
Adrianna Novak,Massachusetts Institute of Technology (MIT) USA,Passed,97,BSED Mathematics,BS Civil Engineering,,81
Aiden Rivera,Stanford University USA,Passed,66,BS Information Technology,BS Biology,,97
Aiden Thomas,Harvard University USA,Passed,98,BS Biology,BS Accountancy,,72
Aiden Thompson,University of Oxford UK,Passed,70,BS Civil Engineering,BS Information Technology,,95
Aiden Wood,Harvard University USA,Passed,75,BS Information Technology,BS Biology,,81
Aisha Olsen,Massachusetts Institute of Technology (MIT) USA,Failed,78,BS Computer Science,BS Biology,,67
Aiyana Huber,Harvard University USA,Failed,88,BSED Mathematics,BS Computer Science,,99
Alaia Mccarty,University of Oxford UK,Failed,73,BS Psychology,BS Criminology,,84
Alaric Jefferson,Stanford University USA,Failed,89,BS Psychology,BS Accountancy,,66
Alaya Lozano,Stanford University USA,Failed,96,BS Computer Science,BSED Mathematics,,65
Alessandra Holland,Stanford University USA,Failed,73,BSED Mathematics,BS Computer Science,,86
Alessandro Cartwright,Harvard University USA,Failed,74,BS Psychology,BS Accountancy,,60
Alessio Valencia,Stanford University USA,Failed,96,BS Criminology,BS Information Technology,,71
Alexander Clark,Harvard University USA,Passed,85,BS Accountancy,BS Civil Engineering,,75
Alexander Moore,Harvard University USA,Passed,89,BS Biology,BS Accountancy,,76
Alexander Thompson,Stanford University USA,Passed,87,BS Biology,BS Accountancy,,79
Alexzander Booth,Stanford University USA,Failed,76,BS Psychology,BS Criminology,,97
Alia Waller,Harvard University USA,Failed,77,BS Psychology,BS Accountancy,,77
Alonzo Werner,Harvard University USA,Failed,92,BS Psychology,BS Criminology,,88
Amalia Friedman,Stanford University USA,Failed,76,BS Psychology,BS Accountancy,,68
Amara Rocha,Harvard University USA,Failed,85,BS Psychology,BS Criminology,,61
Amara Soto,Stanford University USA,Failed,82,BS Computer Science,BS Biology,,76
