Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program
Wesley Carr,Harvard University USA,Failed,55.0,BS Criminology,BS Information Technology
Serenity Heath,Stanford University USA,Failed,86.0,BS Computer Science,BS Biology
Bryce Harrington,Harvard University USA,Failed,82.0,BS Psychology,BS Accountancy
Paisley Delgado,Massachusetts Institute of Technology (MIT) USA,Failed,59.0,BSED Mathematics,BS Civil Engineering
Jonah Weiss,Harvard University USA,Failed,94.0,BS Criminology,BS Information Technology
Sienna Vega,Harvard University USA,Failed,83.0,BS Computer Science,BS Biology
Zachary O'Connell,Stanford University USA,Failed,62.0,BS Psychology,BS Accountancy
Gabrielle Pena,Harvard University USA,Failed,85.0,BSED Mathematics,BS Civil Engineering
Grady McLaughlin,Harvard University USA,Failed,88.0,BS Criminology,BS Information Technology
Amara Soto,Stanford University USA,Failed,70.0,BS Computer Science,BS Biology
Jaxon Rojas,Stanford University USA,Failed,95.0,BS Psychology,BS Accountancy
Leilani Chambers,Harvard University USA,Failed,80.0,BSED Mathematics,BS Civil Engineering
Sawyer Yu,Stanford University USA,Failed,65.0,BS Criminology,BS Information Technology
Anaya Fitzgerald,Harvard University USA,Failed,92.0,BS Computer Science,BS Biology
Tucker Chan,Stanford University USA,Failed,78.0,BS Psychology,BS Accountancy
Adelaide Macias,Harvard University USA,Failed,60.0,BSED Mathematics,BS Civil Engineering
Kaden Ho,Harvard University USA,Failed,87.0,BS Criminology,BS Information Technology
Lillian Maldonado,Stanford University USA,Failed,84.0,BS Computer Science,BS Biology
Rylan Pritchard,Harvard University USA,Failed,68.0,BS Psychology,BS Accountancy
Marina Boone,Harvard University USA,Failed,90.0,BSED Mathematics,BS Civil Engineering
Corbin Cabrera,Massachusetts Institute of Technology (MIT) USA,Failed,79.0,BS Criminology,BS Information Technology
Genevieve Rivas,University of Oxford UK,Failed,63.0,BS Computer Science,BS Biology
Beckham Mahoney,Harvard University USA,Failed,91.0,BS Psychology,BS Accountancy
Evangeline Crosby,Harvard University USA,Failed,77.0,BSED Mathematics,BS Civil Engineering
Solomon Kerr,Harvard University USA,Failed,55.0,BS Criminology,BS Information Technology
Athena Wu,Massachusetts Institute of Technology (MIT) USA,Failed,86.0,BS Computer Science,BS Biology
Keegan Daugherty,Massachusetts Institute of Technology (MIT) USA,Failed,82.0,BS Psychology,BS Accountancy
Madeleine Yu,Harvard University USA,Failed,59.0,BSED Mathematics,BS Civil Engineering
Matthias O'Neill,California Institute of Technology (Caltech) USA,Failed,94.0,BS Criminology,BS Information Technology
Nova Cantu,Harvard University USA,Failed,83.0,BS Computer Science,BS Biology
Orlando Valencia,Harvard University USA,Failed,62.0,BS Psychology,BS Accountancy
Camilla Page,Harvard University USA,Failed,85.0,BSED Mathematics,BS Civil Engineering
Greyson Montoya,University of Oxford UK,Failed,92.0,BS Criminology,BS Information Technology
Luciana Key,Harvard University USA,Failed,78.0,BS Computer Science,BS Biology
Kellan Macdonald,Harvard University USA,Failed,60.0,BS Psychology,BS Accountancy
Camille Conrad,California Institute of Technology (Caltech) USA,Failed,87.0,BSED Mathematics,BS Civil Engineering
Lachlan Bolton,Imperial College London UK,Failed,84.0,BS Criminology,BS Information Technology
Giselle Hanna,University of Oxford UK,Failed,68.0,BS Computer Science,BS Biology
Callum Bender,Harvard University USA,Failed,90.0,BS Psychology,BS Accountancy
Ember Rivera,Harvard University USA,Failed,79.0,BSED Mathematics,BS Civil Engineering
Clark Stanton,Stanford University USA,Failed,63.0,BS Criminology,BS Information Technology
Summer Floyd,Stanford University USA,Failed,91.0,BS Computer Science,BS Biology
Elliot Villegas,Harvard University USA,Failed,77.0,BS Psychology,BS Accountancy
Marley Acevedo,University of Oxford UK,Failed,55.0,BSED Mathematics,BS Civil Engineering
Nixon Bradshaw,Harvard University USA,Failed,86.0,BS Criminology,BS Information Technology
Cecilia Ochoa,Massachusetts Institute of Technology (MIT) USA,Failed,82.0,BS Computer Science,BS Biology
Kyrie Potts,University of Oxford UK,Failed,59.0,BS Psychology,BS Accountancy
Francesca Gillespie,Harvard University USA,Failed,94.0,BSED Mathematics,BS Civil Engineering
Lawrence Proctor,Harvard University USA,Failed,83.0,BS Criminology,BS Information Technology
Jocelyn Pacheco,Stanford University USA,Failed,62.0,BS Computer Science,BS Biology
Heath Weiss,Stanford University USA,Failed,85.0,BS Psychology,BS Accountancy
Celeste Hendricks,Stanford University USA,Failed,88.0,BSED Mathematics,BS Civil Engineering
Konnor Dorsey,Stanford University USA,Failed,70.0,BS Criminology,BS Information Technology
Raquel Sheppard,Stanford University USA,Failed,95.0,BS Computer Science,BS Biology
Alessandro Cartwright,Harvard University USA,Failed,80.0,BS Psychology,BS Accountancy
Juno Rangel,Stanford University USA,Failed,65.0,BSED Mathematics,BS Civil Engineering
Carlisle Hendrix,Stanford University USA,Failed,92.0,BS Criminology,BS Information Technology
Roselyn Sheppard,Harvard University USA,Failed,78.0,BS Computer Science,BS Biology
Cullen Dunlap,Harvard University USA,Failed,60.0,BS Psychology,BS Accountancy
Dahlia Ritter,University of Oxford UK,Failed,87.0,BSED Mathematics,BS Civil Engineering
Jedidiah Rasmussen,Stanford University USA,Failed,84.0,BS Criminology,BS Information Technology
Aisha Olsen,Massachusetts Institute of Technology (MIT) USA,Failed,68.0,BS Computer Science,BS Biology
Stefan Medina,Harvard University USA,Failed,90.0,BS Psychology,BS Accountancy
Reyna Bender,Harvard University USA,Failed,79.0,BSED Mathematics,BS Civil Engineering
Trenton Townsend,Harvard University USA,Failed,63.0,BS Criminology,BS Information Technology
Ingrid Huber,Stanford University USA,Failed,91.0,BS Computer Science,BS Biology
Anders Cuevas,Stanford University USA,Failed,77.0,BS Psychology,BS Accountancy
Noelle Shea,Harvard University USA,Failed,55.0,BSED Mathematics,BS Civil Engineering
