Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program
Wesley Carr,Harvard University USA,Failed,55.0,BS Criminology,BS Information Technology
Jonah Weiss,Harvard University USA,Failed,94.0,BS Criminology,BS Information Technology
Grady McLaughlin,Harvard University USA,Failed,88.0,BS Criminology,BS Information Technology
Sawyer Yu,Stanford University USA,Failed,65.0,BS Criminology,BS Information Technology
Kaden Ho,Harvard University USA,Failed,87.0,BS Criminology,BS Information Technology
Corbin Cabrera,Massachusetts Institute of Technology (MIT) USA,Failed,79.0,BS Criminology,BS Information Technology
Solomon Kerr,Harvard University USA,Failed,55.0,BS Criminology,BS Information Technology
Matthias O'Neill,California Institute of Technology (Caltech) USA,Failed,94.0,BS Criminology,BS Information Technology
Greyson Montoya,University of Oxford UK,Failed,92.0,BS Criminology,BS Information Technology
Lachlan Bolton,Imperial College London UK,Failed,84.0,BS Criminology,BS Information Technology
Clark Stanton,Stanford University USA,Failed,63.0,BS Criminology,BS Information Technology
Nixon Bradshaw,Harvard University USA,Failed,86.0,BS Criminology,BS Information Technology
Lawrence Proctor,Harvard University USA,Failed,83.0,BS Criminology,BS Information Technology
Konnor Dorsey,Stanford University USA,Failed,70.0,BS Criminology,BS Information Technology
Carlisle Hendrix,Stanford University USA,Failed,92.0,BS Criminology,BS Information Technology
Jedidiah Rasmussen,Stanford University USA,Failed,84.0,BS Criminology,BS Information Technology
Trenton Townsend,Harvard University USA,Failed,63.0,BS Criminology,BS Information Technology
Emery Cooley,Harvard University USA,Failed,86.0,BS Criminology,BS Information Technology
Phoenix Chang,Harvard University USA,Failed,83.0,BS Criminology,BS Information Technology
Eliza Werner,University of Oxford UK,Failed,84.0,BS Criminology,BS Information Technology
Kian O'Malley,Stanford University USA,Failed,63.0,BS Criminology,BS Information Technology
Nikolai Pritchard,Stanford University USA,Failed,86.0,BS Criminology,BS Information Technology
Anders Rosales,Harvard University USA,Failed,83.0,BS Criminology,BS Information Technology
Jayleen Huang,University of Oxford UK,Failed,70.0,BS Criminology,BS Information Technology
Margot Davenport,University of Oxford UK,Failed,92.0,BS Criminology,BS Information Technology
Alessio Valencia,Stanford University USA,Failed,84.0,BS Criminology,BS Information Technology
Bodhi O'Donnell,Harvard University USA,Failed,63.0,BS Criminology,BS Information Technology
Callie Werner,Stanford University USA,Failed,86.0,BS Criminology,BS Information Technology
Sariyah Yu,Stanford University USA,Failed,83.0,BS Criminology,BS Information Technology
Emberly Frye,Harvard University USA,Failed,79.0,BS Criminology,BS Information Technology
Leighton Foley,University of Oxford UK,Failed,87.0,BS Criminology,BS Information Technology
Omari Nicholson,Harvard University USA,Failed,79.0,BS Criminology,BS Psychology
Bronson Mullen,Harvard University USA,Failed,55.0,BS Criminology,BS Psychology
Brett Castillo,Harvard University USA,Failed,94.0,BS Criminology,BS Psychology
Dorian Pineda,Harvard University USA,Failed,88.0,BS Criminology,BS Psychology
Lucien Mercer,Harvard University USA,Failed,65.0,BS Criminology,BS Psychology
Kylan Proctor,Harvard University USA,Failed,87.0,BS Criminology,BS Psychology
Yahir Mercer,Harvard University USA,Failed,79.0,BS Criminology,BS Psychology
Zavier Pruitt,Stanford University USA,Failed,55.0,BS Criminology,BS Psychology
Kannon Maldonado,Stanford University USA,Failed,94.0,BS Criminology,BS Psychology
Boone McDowell,Stanford University USA,Failed,87.0,BS Criminology,BS Psychology
Valentino French,Harvard University USA,Failed,79.0,BS Criminology,BS Psychology
Ramonita Deleon,Harvard University USA,Failed,55.0,BS Criminology,BS Psychology
Analia Baxter,Massachusetts Institute of Technology (MIT) USA,Failed,94.0,BS Criminology,BS Psychology
Raylan Levy,Harvard University USA,Failed,88.0,BS Criminology,BS Psychology
Yahya Stuart,Harvard University USA,Failed,65.0,BS Criminology,BS Psychology
Anais Esparza,Harvard University USA,Failed,87.0,BS Criminology,BS Psychology
Anabella Hensley,Harvard University USA,Failed,79.0,BS Criminology,BS Psychology
Faye Mathews,University of Oxford UK,Failed,55.0,BS Criminology,BS Psychology
Brice Vang,Stanford University USA,Failed,94.0,BS Criminology,BS Psychology
Darian Stanton,Harvard University USA,Failed,97.0,BS Criminology,BS Psychology
Cambria Levine,Harvard University USA,Failed,60.0,BS Criminology,BS Psychology
Kylah Erickson,Harvard University USA,Failed,90.0,BS Criminology,BS Psychology
Charleigh Randolph,Stanford University USA,Failed,77.0,BS Criminology,BS Psychology
Rayne Ho,University of Oxford UK,Failed,59.0,BS Criminology,BS Psychology
Briggs Shea,University of Cambridge UK,Failed,85.0,BS Criminology,BS Psychology
Lylah Padilla,Harvard University USA,Failed,80.0,BS Criminology,BS Psychology
Kian Curry,Stanford University USA,Failed,90.0,BS Criminology,BS Psychology
Aryana Hurley,Harvard University USA,Failed,77.0,BS Criminology,BS Psychology
Kolby Yu,Harvard University USA,Failed,60.0,BS Criminology,BS Psychology
Naima Kent,Harvard University USA,Failed,90.0,BS Criminology,BS Psychology
Anaya Hoover,Harvard University USA,Failed,85.0,BS Criminology,BS Information Technology
