Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Rank
Evelyn Jenkins,Stanford University USA,Passed,99.0,BS Civil Engineering,BS Information Technology,1
Olivia Richardson,Stanford University USA,Passed,97.0,BS Civil Engineering,BS Information Technology,2
Carter Hall,Harvard University USA,Passed,97.0,BS Civil Engineering,BS Information Technology,3
Joseph Diaz,Harvard University USA,Passed,95.0,BS Civil Engineering,BS Information Technology,4
Avery Gonzalez,Harvard University USA,Passed,92.0,BS Civil Engineering,BS Information Technology,5
Matthew Johnson,Harvard University USA,Passed,92.0,BS Civil Engineering,BS Information Technology,6
Ava White,Stanford University USA,Passed,91.0,BS Civil Engineering,BS Information Technology,7
Emma Stewart,Stanford University USA,Passed,90.0,BS Civil Engineering,BS Information Technology,8
Emily Williams,Harvard University USA,Passed,89.0,BS Civil Engineering,BS Information Technology,9
Benjamin Martin,Harvard University USA,Passed,89.0,BS Civil Engineering,BS Information Technology,10
Jack Scott,Harvard University USA,Passed,88.0,BS Civil Engineering,BS Information Technology,11
Ethan Carter,Harvard University USA,Passed,87.0,BS Civil Engineering,BS Information Technology,12
Avery Green,Stanford University USA,Passed,86.0,BS Civil Engineering,BS Information Technology,13
Lucas Johnson,Stanford University USA,Passed,85.0,BS Civil Engineering,BS Information Technology,14
Benjamin Richardson,Stanford University USA,Passed,82.0,BS Civil Engineering,BS Information Technology,15
Emily Carter,Harvard University USA,Passed,79.0,BS Civil Engineering,BS Information Technology,16
Mia Young,Harvard University USA,Passed,77.0,BS Civil Engineering,BS Information Technology,17
Noah Jenkins,Harvard University USA,Passed,75.0,BS Civil Engineering,BS Information Technology,18
Mia Perez,Harvard University USA,Passed,74.0,BS Civil Engineering,BS Information Technology,19
Chloe Williams,Stanford University USA,Passed,73.0,BS Civil Engineering,BS Information Technology,20
Andrew Gonzalez,Harvard University USA,Passed,72.0,BS Civil Engineering,BS Information Technology,21
Michael White,Massachusetts Institute of Technology (MIT) USA,Passed,72.0,BS Civil Engineering,BS Information Technology,22
Joseph Martinez,Harvard University USA,Passed,70.0,BS Civil Engineering,BS Information Technology,23
Oliver Parker,California Institute of Technology (Caltech) USA,Passed,69.0,BS Civil Engineering,BS Information Technology,24
Jack Reed,University of Oxford UK,Passed,67.0,BS Civil Engineering,BS Information Technology,25
Gabriel Wilson,Imperial College London UK,Passed,66.0,BS Civil Engineering,BS Information Technology,26
Michael Evans,Stanford University USA,Passed,63.0,BS Civil Engineering,BS Information Technology,27
Ethan Wilson,University of Oxford UK,Passed,62.0,BS Civil Engineering,BS Information Technology,28
Jack Garcia,Harvard University USA,Passed,62.0,BS Civil Engineering,BS Information Technology,29
Layla Jackson,Harvard University USA,Passed,61.0,BS Civil Engineering,BS Information Technology,30
Charlotte Baker,Stanford University USA,Passed,58.0,BS Civil Engineering,BS Information Technology,31
Emily Moore,Stanford University USA,Passed,54.0,BS Civil Engineering,BS Information Technology,32
Harper Diaz,Harvard University USA,Passed,41.0,BS Civil Engineering,BS Information Technology,33
Chloe Anderson,Harvard University USA,Passed,37.0,BS Civil Engineering,BS Information Technology,34
Olivia White,Harvard University USA,Passed,30.0,BS Civil Engineering,BS Information Technology,35
Aiden Thompson,University of Oxford UK,Passed,30.0,BS Civil Engineering,BS Information Technology,36
Ethan Martin,Stanford University USA,Passed,24.0,BS Civil Engineering,BS Information Technology,37
John Doe,Stanford University USA,Passed,0.0,BS Civil Engineering,BS Information Technology,38
Robert Anderson,Harvard University USA,Passed,0.0,BS Civil Engineering,BS Information Technology,39
