Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Rank
Hinata Shoyo,Massachusetts Institute of Technology (MIT) USA,Passed,100.0,BS Computer Science,BS Biology,1
Bella Turner,Stanford University USA,Passed,95.0,BS Computer Science,BS Biology,2
Hazel Parker,University of Oxford UK,Passed,95.0,BS Computer Science,BS Biology,3
Ethan Parker,Harvard University USA,Passed,95.0,BS Computer Science,BS Biology,4
Penelope Choi,Harvard University USA,Passed,92.0,BS Computer Science,BS Biology,5
Avery Taylor,Harvard University USA,Passed,91.0,BS Computer Science,BS Biology,6
Evelyn Taylor,Stanford University USA,Passed,91.0,BS Computer Science,BS Biology,7
Clara Holmes,Stanford University USA,Passed,87.0,BS Computer Science,BS Biology,8
Eloise Kim,Massachusetts Institute of Technology (MIT) USA,Passed,86.0,BS Computer Science,BS Biology,9
Lucas Thompson,University of Oxford UK,Passed,86.0,BS Computer Science,BS Biology,10
Evelyn Reed,Harvard University USA,Passed,86.0,BS Computer Science,BS Biology,11
Elise Zimmerman,Harvard University USA,Passed,84.0,BS Computer Science,BS Biology,12
Juliette Ruiz,Harvard University USA,Passed,83.0,BS Computer Science,BS Biology,13
William Santos,Harvard University USA,Passed,83.0,BS Computer Science,BS Biology,14
Noah Scott,University of Oxford UK,Passed,82.0,BS Computer Science,BS Biology,15
Michael Harris,California Institute of Technology (Caltech) USA,Passed,82.0,BS Computer Science,BS Biology,16
Lily Walker,Stanford University USA,Passed,82.0,BS Computer Science,BS Biology,17
Mason Turner,Harvard University USA,Passed,81.0,BS Computer Science,BS Biology,18
Lucy Myers,Massachusetts Institute of Technology (MIT) USA,Passed,80.0,BS Computer Science,BS Biology,19
Landon Davis,Harvard University USA,Passed,78.0,BS Computer Science,BS Biology,20
Hazel Collins,Stanford University USA,Passed,75.0,BS Computer Science,BS Biology,21
Penelope Torres,Harvard University USA,Passed,72.0,BS Computer Science,BS Biology,22
Madeline Griffin,Stanford University USA,Passed,70.0,BS Computer Science,BS Biology,23
Mia Martin,Harvard University USA,Passed,68.0,BS Computer Science,BS Biology,24
Logan Martin,Stanford University USA,Passed,68.0,BS Computer Science,BS Biology,25
Kiera Holland,Harvard University USA,Passed,63.0,BS Computer Science,BS Biology,26
Elena Vargas,Harvard University USA,Passed,63.0,BS Computer Science,BS Biology,27
Xavier Montgomery,Stanford University USA,Passed,63.0,BS Computer Science,BS Biology,28
Lucas Turner,Harvard University USA,Passed,62.0,BS Computer Science,BS Biology,29
Emma Evans,Harvard University USA,Passed,62.0,BS Computer Science,BS Biology,30
Natalie King,Stanford University USA,Passed,59.0,BS Computer Science,BS Biology,31
Mia Harper,Massachusetts Institute of Technology (MIT) USA,Passed,56.0,BS Computer Science,BS Biology,32
Paisley Diaz,Stanford University USA,Passed,54.0,BS Computer Science,BS Biology,33
Nova Ward,Stanford University USA,Passed,51.0,BS Computer Science,BS Biology,34
Grace Taylor,Harvard University USA,Passed,0.0,BS Computer Science,BS Biology,35
Stella Mitchell,Harvard University USA,Passed,0.0,BS Computer Science,BS Biology,36
