Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Rank
Aiden Rivera,Stanford University USA,Passed,97.0,BS Information Technology,BS Biology,1
Mia Thomas,Harvard University USA,Passed,97.0,BS Information Technology,BS Biology,2
William Walker,University of Cambridge UK,Passed,95.0,BS Information Technology,BS Biology,3
Lily Davis,Harvard University USA,Passed,92.0,BS Information Technology,BS Biology,4
Jackson Baker,Stanford University USA,Passed,92.0,BS Information Technology,BS Biology,5
Daniel Adams,University of Oxford UK,Passed,90.0,BS Information Technology,BS Biology,6
Elijah Robinson,Harvard University USA,Passed,89.0,BS Information Technology,BS Biology,7
Sofia Lewis,Stanford University USA,Passed,89.0,BS Information Technology,BS Biology,8
Noah Parker,Harvard University USA,Passed,88.0,BS Information Technology,BS Biology,9
Aiden Wood,Harvard University USA,Passed,86.0,BS Information Technology,BS Biology,10
Madison Davis,Massachusetts Institute of Technology (MIT) USA,Passed,84.0,BS Information Technology,BS Biology,11
Charlotte Walker,Harvard University USA,Passed,81.0,BS Information Technology,BS Biology,12
Mia Johnson,Stanford University USA,Passed,77.0,BS Information Technology,BS Biology,13
Aria Evans,Stanford University USA,Passed,76.0,BS Information Technology,BS Biology,14
Camila Hayes,Harvard University USA,Passed,75.0,BS Information Technology,BS Biology,15
Zoey Rivera,Stanford University USA,Passed,74.0,BS Information Technology,BS Biology,16
Ella Bailey,Harvard University USA,Passed,73.0,BS Information Technology,BS Biology,17
Amelia Harris,Stanford University USA,Passed,72.0,BS Information Technology,BS Biology,18
Daniel Brown,University of Oxford UK,Passed,72.0,BS Information Technology,BS Biology,19
James Taylor,Massachusetts Institute of Technology (MIT) USA,Passed,70.0,BS Information Technology,BS Biology,20
Olivia Smith,Harvard University USA,Passed,67.0,BS Information Technology,BS Biology,21
Henry Gonzalez,Harvard University USA,Passed,67.0,BS Information Technology,BS Biology,22
Ava Walker,University of Oxford UK,Passed,66.0,BS Information Technology,BS Biology,23
Sarah White,Stanford University USA,Passed,65.0,BS Information Technology,BS Biology,24
Jane Smith,Harvard University USA,Passed,65.0,BS Information Technology,BS Biology,25
Zoey Jenkins,Stanford University USA,Passed,62.0,BS Information Technology,BS Biology,26
Joseph Parker,Massachusetts Institute of Technology (MIT) USA,Passed,62.0,BS Information Technology,BS Biology,27
Mia Smith,Stanford University USA,Passed,59.0,BS Information Technology,BS Biology,28
Benjamin Green,Stanford University USA,Passed,57.0,BS Information Technology,BS Biology,29
Mia Harris,Harvard University USA,Passed,55.0,BS Information Technology,BS Biology,30
Noah Martinez,Harvard University USA,Passed,53.0,BS Information Technology,BS Biology,31
Amelia Jones,Massachusetts Institute of Technology (MIT) USA,Passed,46.0,BS Information Technology,BS Biology,32
Daniel Lee,Stanford University USA,Passed,40.0,BS Information Technology,BS Biology,33
Oliver Turner,Harvard University USA,Passed,37.0,BS Information Technology,BS Biology,34
Lucas Hayes,Stanford University USA,Passed,30.0,BS Information Technology,BS Biology,35
Andrew Phillips,Harvard University USA,Passed,30.0,BS Information Technology,BS Biology,36
Nicholas Rodriguez,Harvard University USA,Passed,24.0,BS Information Technology,BS Biology,37
Emma Miller,Harvard University USA,Passed,0.0,BS Information Technology,BS Biology,38
