Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Rank
Lincoln Coleman,Harvard University USA,Passed,99.0,BS Psychology,BS Accountancy,1
Isaac Park,University of Oxford UK,Passed,95.0,BS Psychology,BS Accountancy,2
Isaac Ward,Harvard University USA,Passed,93.0,BS Psychology,BS Accountancy,3
Elijah Kelly,Stanford University USA,Passed,93.0,BS Psychology,BS Accountancy,4
Emily Rodriguez,Stanford University USA,Passed,91.0,BS Psychology,BS Accountancy,5
Ezekiel Cameron,Harvard University USA,Passed,91.0,BS Psychology,BS Accountancy,6
Garrett Fuller,Harvard University USA,Passed,91.0,BS Psychology,BS Accountancy,7
Avery Harris,Stanford University USA,Passed,90.0,BS Psychology,BS Accountancy,8
Liam Harris,California Institute of Technology (Caltech) USA,Passed,90.0,BS Psychology,BS Accountancy,9
Samuel Hall,Stanford University USA,Passed,89.0,BS Psychology,BS Accountancy,10
Sophie Brown,Massachusetts Institute of Technology (MIT) USA,Passed,85.0,BS Psychology,BS Accountancy,11
Ivy Bell,Harvard University USA,Passed,85.0,BS Psychology,BS Accountancy,12
Grace Evans,Stanford University USA,Passed,85.0,BS Psychology,BS Accountancy,13
Roman Sullivan,Harvard University USA,Passed,82.0,BS Psychology,BS Accountancy,14
Ava Khan,Stanford University USA,Passed,82.0,BS Psychology,BS Accountancy,15
Zoey Thompson,Harvard University USA,Passed,80.0,BS Psychology,BS Accountancy,16
Jackson Turner,Harvard University USA,Passed,78.0,BS Psychology,BS Accountancy,17
Dominic Clarke,Harvard University USA,Passed,78.0,BS Psychology,BS Accountancy,18
Michael Rodriguez,Stanford University USA,Passed,77.0,BS Psychology,BS Accountancy,19
Isabella Rodriguez,University of Oxford UK,Passed,77.0,BS Psychology,BS Accountancy,20
Silas Sullivan,Harvard University USA,Passed,76.0,BS Psychology,BS Accountancy,21
Leo Perez,Harvard University USA,Passed,73.0,BS Psychology,BS Accountancy,22
Caleb Ross,Stanford University USA,Passed,69.0,BS Psychology,BS Accountancy,23
Desmond Wong,Harvard University USA,Passed,68.0,BS Psychology,BS Accountancy,24
Johnny Sins,Harvard University USA,Passed,65.0,BS Psychology,BS Accountancy,25
Benjamin Scott,Stanford University USA,Passed,64.0,BS Psychology,BS Accountancy,26
Nolan Turner,Harvard University USA,Passed,63.0,BS Psychology,BS Accountancy,27
Nathanial Reynolds,Harvard University USA,Passed,62.0,BS Psychology,BS Accountancy,28
Finnegan Schultz,Harvard University USA,Passed,62.0,BS Psychology,BS Accountancy,29
Wyatt Morgan,Harvard University USA,Passed,61.0,BS Psychology,BS Accountancy,30
Eva Adams,Harvard University USA,Passed,60.0,BS Psychology,BS Accountancy,31
Logan Davis,Harvard University USA,Passed,60.0,BS Psychology,BS Accountancy,32
Ava Baker,Stanford University USA,Passed,59.0,BS Psychology,BS Accountancy,33
Aria Scott,Imperial College London UK,Passed,59.0,BS Psychology,BS Accountancy,34
Zoe Sullivan,Stanford University USA,Passed,57.0,BS Psychology,BS Accountancy,35
Oliver Carter,Stanford University USA,Passed,55.0,BS Psychology,BS Accountancy,36
Hudson Hughes,Stanford University USA,Passed,52.0,BS Psychology,BS Accountancy,37
