Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course,RAW scores,Remarks
Madison Lee,Stanford University USA,Passed,97,95,BS Accountancy,BS Civil Engineering,1,72,BS Accountancy,90.25,Passed
Henry Perez,Stanford University USA,Passed,91,78,BS Accountancy,BS Civil Engineering,2,99,BS Accountancy,89.75,Passed
Olivia Taylor,Harvard University USA,Passed,88,97,BS Accountancy,BS Civil Engineering,2,86,BS Accountancy,89.75,Passed
Liam Taylor,Harvard University USA,Passed,100,79,BS Accountancy,BS Civil Engineering,3,74,BS Accountancy,88.25,Passed
Charlotte Wilson,Harvard University USA,Passed,88,78,BS Accountancy,BS Civil Engineering,4,88,BS Accountancy,85.5,Passed
Ivy Bell,Harvard University USA,Passed,85,96,BS Psychology,BS Accountancy,5,73,BS Accountancy,84.75,Passed
Scarlett Cooper,Stanford University USA,Passed,92,78,BS Biology,BS Accountancy,6,76,BS Accountancy,84.5,Passed
Nicholas Jones,Harvard University USA,Passed,84,89,BS Biology,BS Accountancy,7,80,BS Accountancy,84.25,Passed
David Martin,Stanford University USA,Passed,86,78,BS Accountancy,BS Civil Engineering,8,86,BS Accountancy,84.0,Passed
Amelia Young,University of Oxford UK,Passed,89,82,BS Biology,BS Accountancy,9,75,BS Accountancy,83.75,Passed
Layla Garcia,Harvard University USA,Passed,90,88,BS Accountancy,BS Civil Engineering,9,67,BS Accountancy,83.75,Passed
Ava Khan,Stanford University USA,Passed,82,71,BS Psychology,BS Accountancy,10,97,BS Accountancy,83.0,Passed
Emily Rodriguez,Stanford University USA,Passed,91,64,BS Psychology,BS Accountancy,10,86,BS Accountancy,83.0,Passed
Zoey Thompson,Harvard University USA,Passed,80,93,BS Psychology,BS Accountancy,11,77,BS Accountancy,82.5,Passed
Henry Baker,Harvard University USA,Passed,73,84,BS Accountancy,BS Civil Engineering,12,99,BS Accountancy,82.25,Passed
Aria Nelson,Stanford University USA,Passed,87,91,BS Accountancy,BS Civil Engineering,13,63,BS Accountancy,82.0,Passed
Benjamin Scott,Stanford University USA,Passed,64,99,BS Psychology,BS Accountancy,14,100,BS Accountancy,81.75,Passed
Samuel Scott,Harvard University USA,Passed,80,85,BS Biology,BS Accountancy,14,82,BS Accountancy,81.75,Passed
Elijah Thomas,Harvard University USA,Passed,71,94,BS Biology,BS Accountancy,15,90,BS Accountancy,81.5,Passed
Scarlett Lee,Stanford University USA,Passed,85,88,BS Accountancy,BS Civil Engineering,15,68,BS Accountancy,81.5,Passed
Mia Brown,Stanford University USA,Passed,90,77,BS Biology,BS Accountancy,16,68,BS Accountancy,81.25,Passed
James Harris,Stanford University USA,Passed,89,84,BS Accountancy,BS Civil Engineering,16,63,BS Accountancy,81.25,Passed
Logan Turner,Stanford University USA,Passed,75,83,BS Biology,BS Accountancy,16,92,BS Accountancy,81.25,Passed
Ezekiel Cameron,Harvard University USA,Passed,91,65,BS Psychology,BS Accountancy,17,77,BS Accountancy,81.0,Passed
Evelyn Stewart,Stanford University USA,Passed,82,83,BS Accountancy,BS Civil Engineering,17,77,BS Accountancy,81.0,Passed
Sophia King,Harvard University USA,Passed,94,62,BS Accountancy,BS Civil Engineering,18,73,BS Accountancy,80.75,Passed
Zoey Hayes,Harvard University USA,Passed,89,68,BS Biology,BS Accountancy,19,74,BS Accountancy,80.0,Passed
Emma Wilson,Massachusetts Institute of Technology (MIT) USA,Passed,78,94,BS Accountancy,BS Civil Engineering,20,69,BS Accountancy,79.75,Passed
Sophie Brown,Massachusetts Institute of Technology (MIT) USA,Passed,85,80,BS Psychology,BS Accountancy,21,68,BS Accountancy,79.5,Passed
Harper Jackson,Harvard University USA,Passed,72,79,BS Accountancy,BS Civil Engineering,22,94,BS Accountancy,79.25,Passed
