Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course,RAW scores,Remarks
Andrew Anderson,University of Oxford UK,Passed,95,98,BS Biology,BS Accountancy,1,85,BS Biology,93.25,Passed
Chloe Moore,Stanford University USA,Passed,98,96,BS Biology,BS Accountancy,2,69,BS Biology,90.25,Passed
Alexander Thompson,Stanford University USA,Passed,100,98,BS Biology,BS Accountancy,2,63,BS Biology,90.25,Passed
Lucas Evans,University of Oxford UK,Passed,96,87,BS Biology,BS Accountancy,3,77,BS Biology,89.0,Passed
David Rodriguez,Harvard University USA,Passed,88,81,BS Biology,BS Accountancy,4,98,BS Biology,88.75,Passed
Ella Martinez,Harvard University USA,Passed,92,95,BS Biology,BS Accountancy,5,70,BS Biology,87.25,Passed
Harper Turner,Harvard University USA,Passed,97,72,BS Biology,BS Accountancy,6,82,BS Biology,87.0,Passed
Logan Smith,Stanford University USA,Passed,90,81,BS Biology,BS Accountancy,6,87,BS Biology,87.0,Passed
Liam Martin,Harvard University USA,Passed,90,66,BS Biology,BS Accountancy,7,97,BS Biology,85.75,Passed
Alexander Moore,Harvard University USA,Passed,78,89,BS Biology,BS Accountancy,7,98,BS Biology,85.75,Passed
Harper Jones,Harvard University USA,Passed,87,95,BS Biology,BS Accountancy,8,71,BS Biology,85.0,Passed
