Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course,RAW scores,Remarks
Hinata Shoyo,Massachusetts Institute of Technology (MIT) USA,Passed,100,96,BS Computer Science,BS Biology,1,71,BS Computer Science,91.75,Passed
Evelyn Taylor,Stanford University USA,Passed,91,79,BS Computer Science,BS Biology,2,99,BS Computer Science,90.0,Passed
Ethan Parker,Harvard University USA,Passed,95,76,BS Computer Science,BS Biology,3,89,BS Computer Science,88.75,Passed
Elise Zimmerman,Harvard University USA,Passed,84,88,BS Computer Science,BS Biology,4,98,BS Computer Science,88.5,Passed
Mason Turner,Harvard University USA,Passed,81,82,BS Computer Science,BS Biology,5,98,BS Computer Science,85.5,Passed
Hazel Parker,University of Oxford UK,Passed,95,70,BS Computer Science,BS Biology,6,78,BS Computer Science,84.5,Passed
Noah Scott,University of Oxford UK,Passed,82,78,BS Computer Science,BS Biology,7,93,BS Computer Science,83.75,Passed
Lily Walker,Stanford University USA,Passed,82,79,BS Computer Science,BS Biology,8,86,BS Computer Science,82.25,Passed
Lucas Thompson,University of Oxford UK,Passed,86,79,BS Computer Science,BS Biology,9,76,BS Computer Science,81.75,Passed
Bella Turner,Stanford University USA,Passed,95,62,BS Computer Science,BS Biology,10,74,BS Computer Science,81.5,Passed
Eloise Kim,Massachusetts Institute of Technology (MIT) USA,Passed,86,89,BS Computer Science,BS Biology,11,60,BS Computer Science,80.25,Passed
Michael Harris,California Institute of Technology (Caltech) USA,Passed,82,64,BS Computer Science,BS Biology,12,90,BS Computer Science,79.5,Passed
William Santos,Harvard University USA,Passed,83,90,BS Computer Science,BS Biology,12,62,BS Computer Science,79.5,Passed
Landon Davis,Harvard University USA,Passed,78,97,BS Computer Science,BS Biology,13,64,BS Computer Science,79.25,Passed
Penelope Choi,Harvard University USA,Passed,92,64,BS Computer Science,BS Biology,14,66,BS Computer Science,78.5,Passed
Avery Taylor,Harvard University USA,Passed,91,71,BS Computer Science,BS Biology,14,61,BS Computer Science,78.5,Passed
Hazel Collins,Stanford University USA,Passed,75,77,BS Computer Science,BS Biology,15,84,BS Computer Science,77.75,Passed
Clara Holmes,Stanford University USA,Passed,87,66,BS Computer Science,BS Biology,15,71,BS Computer Science,77.75,Passed
Lucy Myers,Massachusetts Institute of Technology (MIT) USA,Passed,80,80,BS Computer Science,BS Biology,16,70,BS Computer Science,77.5,Passed
Juliette Ruiz,Harvard University USA,Passed,83,64,BS Computer Science,BS Biology,17,79,BS Computer Science,77.25,Passed
Elena Vargas,Harvard University USA,Passed,63,98,BS Computer Science,BS Biology,18,84,BS Computer Science,77.0,Passed
Madeline Griffin,Stanford University USA,Passed,70,82,BS Computer Science,BS Biology,19,81,BS Computer Science,75.75,Passed
Paisley Diaz,Stanford University USA,Passed,54,95,BS Computer Science,BS Biology,20,95,BS Computer Science,74.5,Passed
Emma Evans,Harvard University USA,Passed,62,83,BS Computer Science,BS Biology,21,88,BS Computer Science,73.75,Passed
Evelyn Reed,Harvard University USA,Passed,86,61,BS Computer Science,BS Biology,22,61,BS Computer Science,73.5,Passed
Logan Martin,Stanford University USA,Passed,68,91,BS Computer Science,BS Biology,23,63,BS Computer Science,72.5,Passed
Mia Harper,Massachusetts Institute of Technology (MIT) USA,Passed,56,98,BS Computer Science,BS Biology,24,79,BS Computer Science,72.25,Passed
Kiera Holland,Harvard University USA,Passed,63,82,BS Computer Science,BS Biology,25,76,BS Computer Science,71.0,Passed
Penelope Torres,Harvard University USA,Passed,72,70,BS Computer Science,BS Biology,26,68,BS Computer Science,70.5,Passed
Mia Martin,Harvard University USA,Passed,68,61,BS Computer Science,BS Biology,26,85,BS Computer Science,70.5,Passed
Natalie King,Stanford University USA,Passed,59,82,BS Computer Science,BS Biology,27,69,BS Computer Science,67.25,Passed
Lucas Turner,Harvard University USA,Passed,62,74,BS Computer Science,BS Biology,28,66,BS Computer Science,66.0,Passed
Nova Ward,Stanford University USA,Passed,51,98,BS Computer Science,BS Biology,29,60,BS Computer Science,65.0,Passed
Xavier Montgomery,Stanford University USA,Passed,63,74,BS Computer Science,BS Biology,29,60,BS Computer Science,65.0,Passed
