Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course,RAW scores,Remarks
Elijah Reed,University of Oxford UK,Passed,98,91,BS Criminology,BS Information Technology,1,98,BS Criminology,96.25,Passed
Amelia Brooks,Stanford University USA,Passed,92,99,BS Criminology,BS Information Technology,2,92,BS Criminology,93.75,Passed
Vincent Barker,Harvard University USA,Passed,87,96,BS Criminology,BS Information Technology,3,96,BS Criminology,91.5,Passed
Ava Turner,Harvard University USA,Passed,92,88,BS Criminology,BS Information Technology,4,87,BS Criminology,89.75,Passed
Lincoln Holmes,Harvard University USA,Passed,91,98,BS Criminology,BS Information Technology,5,76,BS Criminology,89.0,Passed
Damian Hunt,Harvard University USA,Passed,88,98,BS Criminology,BS Information Technology,6,80,BS Criminology,88.5,Passed
Mia Hernandez,University of Oxford UK,Passed,92,78,BS Criminology,BS Information Technology,7,91,BS Criminology,88.25,Passed
Atticus Hawkins,Stanford University USA,Passed,94,65,BS Criminology,BS Information Technology,8,94,BS Criminology,86.75,Passed
Aurora Hayes,Stanford University USA,Passed,83,92,BS Criminology,BS Information Technology,9,87,BS Criminology,86.25,Passed
Logan Clark,Harvard University USA,Passed,83,86,BS Criminology,BS Information Technology,10,91,BS Criminology,85.75,Passed
Max Thompson,Harvard University USA,Passed,79,95,BS Criminology,BS Information Technology,11,89,BS Criminology,85.5,Passed
Sophia Gupta,Harvard University USA,Passed,94,93,BS Criminology,BS Information Technology,11,61,BS Criminology,85.5,Passed
Jasmine Parker,Stanford University USA,Passed,79,85,BS Criminology,BS Information Technology,12,98,BS Criminology,85.25,Passed
Sophie Holmes,Harvard University USA,Passed,86,72,BS Criminology,BS Information Technology,13,95,BS Criminology,84.75,Passed
Owen Turner,Stanford University USA,Passed,76,97,BS Criminology,BS Information Technology,14,89,BS Criminology,84.5,Passed
Silas Flynn,Harvard University USA,Passed,79,100,BS Criminology,BS Information Technology,15,77,BS Criminology,83.75,Passed
Evelyn King,Harvard University USA,Passed,86,81,BS Criminology,BS Information Technology,16,78,BS Criminology,82.75,Passed
Daniel Hall,Massachusetts Institute of Technology (MIT) USA,Passed,84,89,BS Criminology,BS Information Technology,17,71,BS Criminology,82.0,Passed
Xavier Roth,Stanford University USA,Passed,79,82,BS Criminology,BS Information Technology,18,84,BS Criminology,81.0,Passed
Sawyer Bailey,Harvard University USA,Passed,58,96,BS Criminology,BS Information Technology,19,99,BS Criminology,77.75,Passed
Ella Miller,Stanford University USA,Passed,84,75,BS Criminology,BS Information Technology,20,67,BS Criminology,77.5,Passed
Grayson Bell,Harvard University USA,Passed,71,61,BS Criminology,BS Information Technology,21,99,BS Criminology,75.5,Passed
Zane Stewart,Harvard University USA,Passed,67,64,BS Criminology,BS Information Technology,22,99,BS Criminology,74.25,Passed
Levi Russell,Stanford University USA,Passed,59,95,BS Criminology,BS Information Technology,22,84,BS Criminology,74.25,Passed
Matthew Carter,Harvard University USA,Passed,63,90,BS Criminology,BS Information Technology,23,78,BS Criminology,73.5,Passed
Charlotte Clark,Harvard University USA,Passed,83,61,BS Criminology,BS Information Technology,24,64,BS Criminology,72.75,Passed
Mason Donovan,Harvard University USA,Passed,65,94,BS Criminology,BS Information Technology,24,67,BS Criminology,72.75,Passed
Emily Johnson,Harvard University USA,Passed,70,67,BS Criminology,BS Information Technology,25,79,BS Criminology,71.5,Passed
Carter Brooks,Harvard University USA,Passed,74,64,BS Criminology,BS Information Technology,26,73,BS Criminology,71.25,Passed
James Carter,Harvard University USA,Passed,63,64,BS Criminology,BS Information Technology,27,93,BS Criminology,70.75,Passed
Tristan Shepard,Stanford University USA,Passed,55,74,BS Criminology,BS Information Technology,28,98,BS Criminology,70.5,Passed
James Cooper,Harvard University USA,Passed,74,68,BS Criminology,BS Information Technology,29,61,BS Criminology,69.25,Passed
Olivia Chang,Stanford University USA,Passed,55,67,BS Criminology,BS Information Technology,30,96,BS Criminology,68.25,Passed
