Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course,RAW scores,Remarks
William Walker,University of Cambridge UK,Passed,95,89,BS Information Technology,BS Biology,1,97,BS Information Technology,94.0,Passed
Lily Davis,Harvard University USA,Passed,92,85,BS Information Technology,BS Biology,2,91,BS Information Technology,90.0,Passed
Elijah Robinson,Harvard University USA,Passed,89,95,BS Information Technology,BS Biology,3,86,BS Information Technology,89.75,Passed
Mia Thomas,Harvard University USA,Passed,97,61,BS Information Technology,BS Biology,4,97,BS Information Technology,88.0,Passed
Jackson Baker,Stanford University USA,Passed,92,78,BS Information Technology,BS Biology,5,88,BS Information Technology,87.5,Passed
Aiden Rivera,Stanford University USA,Passed,97,65,BS Information Technology,BS Biology,6,89,BS Information Technology,87.0,Passed
Sofia Lewis,Stanford University USA,Passed,89,86,BS Information Technology,BS Biology,6,84,BS Information Technology,87.0,Passed
Noah Parker,Harvard University USA,Passed,88,76,BS Information Technology,BS Biology,7,92,BS Information Technology,86.0,Passed
Daniel Adams,University of Oxford UK,Passed,90,70,BS Information Technology,BS Biology,8,93,BS Information Technology,85.75,Passed
Olivia Richardson,Stanford University USA,Passed,97,76,BS Civil Engineering,BS Information Technology,9,65,BS Information Technology,83.75,Passed
Matthew Johnson,Harvard University USA,Passed,92,88,BS Civil Engineering,BS Information Technology,10,62,BS Information Technology,83.5,Passed
Ethan Carter,Harvard University USA,Passed,87,66,BS Civil Engineering,BS Information Technology,11,93,BS Information Technology,83.25,Passed
Avery Gonzalez,Harvard University USA,Passed,92,68,BS Civil Engineering,BS Information Technology,12,80,BS Information Technology,83.0,Passed
Mia Perez,Harvard University USA,Passed,74,86,BS Civil Engineering,BS Information Technology,13,97,BS Information Technology,82.75,Passed
Ava White,Stanford University USA,Passed,91,88,BS Civil Engineering,BS Information Technology,14,60,BS Information Technology,82.5,Passed
Olivia Smith,Harvard University USA,Passed,67,93,BS Information Technology,BS Biology,15,99,BS Information Technology,81.5,Passed
Benjamin Richardson,Stanford University USA,Passed,82,97,BS Civil Engineering,BS Information Technology,16,62,BS Information Technology,80.75,Passed
Jack Reed,University of Oxford UK,Passed,67,96,BS Civil Engineering,BS Information Technology,17,89,BS Information Technology,79.75,Passed
Emily Williams,Harvard University USA,Passed,89,63,BS Civil Engineering,BS Information Technology,17,78,BS Information Technology,79.75,Passed
Zoey Rivera,Stanford University USA,Passed,74,72,BS Information Technology,BS Biology,18,98,BS Information Technology,79.5,Passed
Emma Stewart,Stanford University USA,Passed,90,64,BS Civil Engineering,BS Information Technology,19,72,BS Information Technology,79.0,Passed
Emily Carter,Harvard University USA,Passed,79,75,BS Civil Engineering,BS Information Technology,20,81,BS Information Technology,78.5,Passed
Chloe Williams,Stanford University USA,Passed,73,88,BS Civil Engineering,BS Information Technology,20,80,BS Information Technology,78.5,Passed
Avery Green,Stanford University USA,Passed,86,64,BS Civil Engineering,BS Information Technology,21,77,BS Information Technology,78.25,Passed
Ella Bailey,Harvard University USA,Passed,73,78,BS Information Technology,BS Biology,22,88,BS Information Technology,78.0,Passed
Layla Jackson,Harvard University USA,Passed,61,90,BS Civil Engineering,BS Information Technology,23,97,BS Information Technology,77.25,Passed
Jack Scott,Harvard University USA,Passed,88,66,BS Civil Engineering,BS Information Technology,24,66,BS Information Technology,77.0,Passed
Michael White,Massachusetts Institute of Technology (MIT) USA,Passed,72,94,BS Civil Engineering,BS Information Technology,25,69,BS Information Technology,76.75,Passed
Aiden Wood,Harvard University USA,Passed,86,62,BS Information Technology,BS Biology,26,72,BS Information Technology,76.5,Passed
Zoey Jenkins,Stanford University USA,Passed,62,94,BS Information Technology,BS Biology,27,87,BS Information Technology,76.25,Passed
Charlotte Walker,Harvard University USA,Passed,81,75,BS Information Technology,BS Biology,28,65,BS Information Technology,75.5,Passed
Madison Davis,Massachusetts Institute of Technology (MIT) USA,Passed,84,60,BS Information Technology,BS Biology,29,73,BS Information Technology,75.25,Passed
Joseph Parker,Massachusetts Institute of Technology (MIT) USA,Passed,62,87,BS Information Technology,BS Biology,29,90,BS Information Technology,75.25,Passed
Camila Hayes,Harvard University USA,Passed,75,72,BS Information Technology,BS Biology,30,78,BS Information Technology,75.0,Passed
Lucas Johnson,Stanford University USA,Passed,85,64,BS Civil Engineering,BS Information Technology,31,65,BS Information Technology,74.75,Passed
Aria Evans,Stanford University USA,Passed,76,69,BS Information Technology,BS Biology,31,78,BS Information Technology,74.75,Passed
Gabriel Wilson,Imperial College London UK,Passed,66,99,BS Civil Engineering,BS Information Technology,31,68,BS Information Technology,74.75,Passed
Mia Johnson,Stanford University USA,Passed,77,71,BS Information Technology,BS Biology,32,71,BS Information Technology,74.0,Passed
Michael Evans,Stanford University USA,Passed,63,71,BS Civil Engineering,BS Information Technology,33,98,BS Information Technology,73.75,Passed
Jane Smith,Harvard University USA,Passed,65,97,BS Information Technology,BS Biology,33,68,BS Information Technology,73.75,Passed
Daniel Brown,University of Oxford UK,Passed,72,83,BS Information Technology,BS Biology,34,67,BS Information Technology,73.5,Passed
Sarah White,Stanford University USA,Passed,65,77,BS Information Technology,BS Biology,34,87,BS Information Technology,73.5,Passed
Mia Young,Harvard University USA,Passed,77,69,BS Civil Engineering,BS Information Technology,35,70,BS Information Technology,73.25,Passed
