Name,University,Physical Fitness Test,Entrance Exam,GWA,First Chosen Program,Second Chosen Program,Rank,Interview,Course,RAW scores,Remarks
Elijah Baker,University of Oxford UK,Passed,94,94,BSED Mathematics,BS Civil Engineering,1,96,BSED Mathematics,94.5,Passed
ABC MOORE,Stanford University USA,Passed,100,84,BSED Mathematics,BS Civil Engineering,2,93,BSED Mathematics,94.25,Passed
Caleb Turner,Harvard University USA,Passed,94,89,BSED Mathematics,BS Civil Engineering,3,97,BSED Mathematics,93.5,Passed
Harper Bishop,Stanford University USA,Passed,90,98,BSED Mathematics,BS Civil Engineering,4,84,BSED Mathematics,90.5,Passed
Benjamin Turner,Stanford University USA,Passed,88,98,BSED Mathematics,BS Civil Engineering,5,83,BSED Mathematics,89.25,Passed
Stella Schmidt,Stanford University USA,Passed,88,87,BSED Mathematics,BS Civil Engineering,6,89,BSED Mathematics,88.0,Passed
Emma Adams,Massachusetts Institute of Technology (MIT) USA,Passed,87,95,BSED Mathematics,BS Civil Engineering,7,76,BSED Mathematics,86.25,Passed
Addison Price,Harvard University USA,Passed,96,78,BSED Mathematics,BS Civil Engineering,7,75,BSED Mathematics,86.25,Passed
Aurora Morgan,Massachusetts Institute of Technology (MIT) USA,Passed,89,84,BSED Mathematics,BS Civil Engineering,8,82,BSED Mathematics,86.0,Passed
Olivia Turner,Massachusetts Institute of Technology (MIT) USA,Passed,94,89,BSED Mathematics,BS Civil Engineering,9,63,BSED Mathematics,85.0,Passed
Harper Baker,University of Oxford UK,Passed,94,86,BSED Mathematics,BS Civil Engineering,10,65,BSED Mathematics,84.75,Passed
Isabella Thompson,Stanford University USA,Passed,79,87,BSED Mathematics,BS Civil Engineering,11,93,BSED Mathematics,84.5,Passed
Darryl John,Stanford University USA,Passed,97,61,BSED Mathematics,BS Civil Engineering,12,79,BSED Mathematics,83.5,Passed
Scarlett Foster,Harvard University USA,Passed,82,74,BSED Mathematics,BS Civil Engineering,12,96,BSED Mathematics,83.5,Passed
Cassandra Graham,Stanford University USA,Passed,85,80,BSED Mathematics,BS Civil Engineering,13,80,BSED Mathematics,82.5,Passed
John Smith,Stanford University USA,Passed,88,72,BSED Mathematics,BS Civil Engineering,14,78,BSED Mathematics,81.5,Passed
Stella Moore,Harvard University USA,Passed,85,83,BSED Mathematics,BS Civil Engineering,15,71,BSED Mathematics,81.0,Passed
Jacob Patel,Harvard University USA,Passed,77,83,BSED Mathematics,BS Civil Engineering,16,84,BSED Mathematics,80.25,Passed
Noah Wilson,University of Oxford UK,Passed,65,91,BSED Mathematics,BS Civil Engineering,17,99,BSED Mathematics,80.0,Passed
Jack Hall,Stanford University USA,Passed,87,72,BSED Mathematics,BS Civil Engineering,17,74,BSED Mathematics,80.0,Passed
