Name,University,Physical Fitness Test,Entrance Exam,First Chosen Program,Second Chosen Program,Interview,Course,Remarks
Camila Wood,Stanford University USA,a,100,BS Information Technology,BS Biology,1,,
Alexander Thompson,Stanford University USA,1,100,BS Biology,BS Accountancy,1,,
Liam Taylor,Harvard University USA,1,100,BS Accountancy,BS Civil Engineering,1,,
Evelyn Jenkins,Stanford University USA,1,99,BS Civil Engineering,BS Information Technology,1,,
Michael Jackson,Harvard University USA,a,99,BS Information Technology,BS Biology,1,,
Chloe Moore,Stanford University USA,1,98,BS Biology,BS Accountancy,1,,
Nicholas Clark,Harvard University USA,ADS,98,BS Accountancy,BS Civil Engineering,1,,
Olivia Richardson,Stanford University USA,1,97,BS Civil Engineering,BS Information Technology,1,,
Aiden Rivera,Stanford University USA,1,97,BS Information Technology,BS Biology,1,,
Harper Turner,Harvard University USA,1,97,BS Biology,BS Accountancy,a,,
Madison Lee,Stanford University USA,1,97,BS Accountancy,BS Civil Engineering,sssd,,
Carter Hall,Harvard University USA,1,97,BS Civil Engineering,BS Information Technology,1,,
Mia Thomas,Harvard University USA,1,97,BS Information Technology,BS Biology,1,,
Lucas Evans,University of Oxford UK,1,96,BS Biology,BS Accountancy,1,,
Abigail Bailey,Harvard University USA,S,95,BS Accountancy,BS Civil Engineering,1,,
Joseph Diaz,Harvard University USA,1,95,BS Civil Engineering,BS Information Technology,f,,
William Walker,University of Cambridge UK,1,95,BS Information Technology,BS Biology,g,,
Andrew Anderson,University of Oxford UK,1,95,BS Biology,BS Accountancy,1,,
Sophia King,Harvard University USA,1,94,BS Accountancy,BS Civil Engineering,g,,
Avery Gonzalez,Harvard University USA,1,92,BS Civil Engineering,BS Information Technology,gg,,
Lily Davis,Harvard University USA,1,92,BS Information Technology,BS Biology,1,,
Scarlett Cooper,Stanford University USA,1,92,BS Biology,BS Accountancy,g,,
Grace Reed,Stanford University USA,SD,92,BS Accountancy,BS Civil Engineering,gg,,
Matthew Johnson,Harvard University USA,1,92,BS Civil Engineering,BS Information Technology,1,,
Jackson Baker,Stanford University USA,1,92,BS Information Technology,BS Biology,e,,
Ella Martinez,Harvard University USA,1,92,BS Biology,BS Accountancy,qw,,
